speaker,degree,betweenness
István Ujhelyi,0.18702290076335878,0.0031486800096454564
Katarina Barley,0.25572519083969464,0.015362156967798375
Witold Jan Waszczykowski,0.17557251908396945,0.0022596655869666997
Deirdre Clune,0.06870229007633588,0.0127221235640773
László Trócsányi,0.08015267175572519,0.00042047145359912837
Juozas Olekas,0.16412213740458015,0.00554823262898804
Tomislav Sokol,0.0648854961832061,0.002929777727254877
Sylvie Guillaume,0.022900763358778626,0.00015511969827989
Clara Aguilera,0.007633587786259542,0.0
Mislav Kolakušić,0.17557251908396945,0.0010710647551741982
Dacian Cioloş,0.2480916030534351,0.042093366073169054
Jonás Fernández,0.18702290076335878,0.009428356833111405
Milan Uhrík,0.05343511450381679,0.0005746178628814808
Ibán García Del Blanco,0.11450381679389313,0.00037935065006702975
Harald Vilimsky,0.08396946564885496,0.0007578723318914184
Marlene Mortler,0.11832061068702289,0.0
Malik Azmani,0.007633587786259542,0.0
Katrin Langensiepen,0.026717557251908396,0.0076335877862595426
Anja Hazekamp,0.03435114503816794,0.00013020930997495299
Andrus Ansip,0.11450381679389313,0.00034233115611310966
Mick Wallace,0.24045801526717556,0.02010109501841191
Hervé Juvin,0.04198473282442748,0.0003548399897999534
Grzegorz Tobiszowski,0.030534351145038167,0.0
Salima Yenbou,0.1946564885496183,0.010389397224219124
Vilija Blinkevičiūtė,0.34732824427480913,0.023966062823283844
Guido Reil,0.03816793893129771,0.001153817876333633
Margarida Marques,0.10687022900763359,0.0019760932275594244
Özlem Demirel,0.011450381679389313,0.0076335877862595426
Maria Spyraki,0.019083969465648856,8.187495242882242e-05
Carlos Zorrinho,0.11450381679389313,0.004777331163861308
Marisa Matias,0.022900763358778626,0.0
Evelyne Gebhardt,0.019083969465648856,0.0002602889951340782
Ramona Strugariu,0.04198473282442748,0.0
Viola von Cramon-Taubadel,0.06870229007633588,0.000524657348140212
Virginie Joron,0.17175572519083968,0.012711100240356763
Clare Daly,0.011450381679389313,6.702543554346659e-06
Bert-Jan Ruissen,0.17938931297709923,0.009240146788404742
Róża Thun und Hohenstein,0.0916030534351145,0.0026118399530819032
Siegfried Mureşan,0.29389312977099236,0.006450675970307493
Barry Andrews,0.05725190839694656,5.533914159709667e-05
Ivan Štefanec,0.061068702290076333,0.00035993248178250363
Markus Ferber,0.183206106870229,0.00803944267603999
Marco Dreosto,0.04198473282442748,0.0
Ciarán Cuffe,0.04961832061068702,0.0
Sophia in 't Veld,0.14885496183206107,0.008823374563169749
Ilhan Kyuchyuk,0.24427480916030533,0.01031860581363212
Karima Delli,0.21755725190839695,0.007898873737723841
Christophe Hansen,0.0648854961832061,0.0013757726279066947
Hermann Tertsch,0.11068702290076335,0.011636496382914713
Ismail Ertug,0.07251908396946564,0.0011125831194277464
Edina Tóth,0.11832061068702289,0.0
François-Xavier Bellamy,0.21374045801526717,0.011541988994682034
Luisa Regimenti,0.030534351145038167,0.0
Sylvia Limmer,0.04580152671755725,0.0009528380348438828
Christian Ehler,0.10305343511450381,0.00416390144105616
Jens Gieseke,0.003816793893129771,0.0
Christel Schaldemose,0.183206106870229,0.004006006964558883
Paulo Rangel,0.07251908396946564,0.015102717178406784
Marian-Jean Marinescu,0.007633587786259542,0.0
Vlad-Marius Botoş,0.3053435114503817,0.03857961631952001
Alexandra Geese,0.17938931297709923,0.01254524289191635
Stanislav Polčák,0.32061068702290074,0.020581759614704407
Krzysztof Hetman,0.026717557251908396,0.0
Lara Wolters,0.07633587786259542,0.0033475658053409726
Francesca Donato,0.3015267175572519,0.02109592141295268
Marc Botenga,0.31679389312977096,0.02458866669803851
Ska Keller,0.2213740458015267,0.006868787225672515
Pierre Larrouturou,0.11832061068702289,0.0
Maria Angela Danzì,0.11832061068702289,0.0
Rosanna Conte,0.18702290076335878,0.008683057107426171
María Soraya Rodríguez Ramos,0.17175572519083968,0.010689500413349488
Kim Van Sparrentak,0.09541984732824427,0.011094877879329631
Cláudia Monteiro de Aguiar,0.04961832061068702,0.0005714171177266465
Miriam Lexmann,0.04198473282442748,0.0028554558952612313
Valérie Hayer,0.007633587786259542,2.4253270754314405e-05
Karen Melchior,0.06870229007633588,6.59898145387445e-05
Tomáš Zdechovský,0.21374045801526717,0.007721809272518556
Robert Hajšel,0.26717557251908397,0.012644925563071268
Angelo Ciocca,0.011450381679389313,1.2186442826084837e-05
Gabriele Bischoff,0.2480916030534351,0.008635519044828502
Zdzisław Krasnodębski,0.011450381679389313,0.0
Sergey Lagodinsky,0.007633587786259542,0.0
Terry Reintke,0.12595419847328243,0.007004074787370816
Roman Haider,0.019083969465648856,8.552160997820726e-05
Corina Crețu,0.03435114503816794,0.0004092997998274709
Frances Fitzgerald,0.026717557251908396,2.5198900071100047e-05
Andor Deli,0.04580152671755725,3.05946694790041e-05
Marie Toussaint,0.1450381679389313,0.006059664390420488
Clara Ponsatí Obiols,0.16030534351145037,0.0
Hannah Neumann,0.11450381679389313,0.0
Elissavet Vozemberg-Vrionidi,0.026717557251908396,0.008005769025248783
Josianne Cutajar,0.17175572519083968,0.010191834778284586
Johan Danielsson,0.007633587786259542,0.0
Klaus Buchner,0.003816793893129771,0.0
Helmut Scholz,0.17938931297709923,0.005656614118065376
Elsi Katainen,0.1450381679389313,0.0020540041585685722
Diana Riba i Giner,0.09541984732824427,0.0013833676982838046
Brando Benifei,0.003816793893129771,0.0
Daniel Freund,0.04580152671755725,0.0008519155529622778
Vladimír Bilčík,0.34732824427480913,0.022082202156908367
Leszek Miller,0.3511450381679389,0.025211585051742362
Łukasz Kohut,0.09923664122137404,0.002353550315353412
Fabio Massimo Castaldo,0.07633587786259542,0.0076335877862595426
Cyrus Engerer,0.2633587786259542,0.003993634734135087
Ana Miranda,0.14885496183206107,0.002229137977478698
Alviina Alametsä,0.11832061068702289,0.00018304463421715245
Jadwiga Wiśniewska,0.11450381679389313,0.0
Juan Fernando López Aguilar,0.3129770992366412,0.015337365867295318
Lefteris Nikolaou-Alavanos,0.05343511450381679,0.0007326656917838366
Sara Skyttedal,0.026717557251908396,0.0
Guy Verhofstadt,0.22900763358778625,0.00825682246967034
Sven Mikser,0.011450381679389313,7.922804076056746e-06
Elżbieta Rafalska,0.04580152671755725,0.0005846993052489939
Damien Carême,0.13740458015267176,0.0029446293020122553
France Jamet,0.007633587786259542,0.0
Seán Kelly,0.022900763358778626,0.0010233894208173929
Ioan-Rareş Bogdan,0.04580152671755725,0.0005032558699824037
Tanja Fajon,0.2480916030534351,0.011696584750566768
Mounir Satouri,0.08778625954198473,0.0013132677274164477
Kostas Papadakis,0.0648854961832061,0.006401057291725539
Margrete Auken,0.003816793893129771,0.0
Caroline Roose,0.13358778625954199,0.0023319919765343406
Eugen Tomac,0.03816793893129771,0.004005828518885818
Anna Fotyga,0.11832061068702289,0.0034875428368501015
Isabel Santos,0.15267175572519084,0.00745335681681877
Miapetra Kumpula-Natri,0.07633587786259542,0.0001719117258448471
Tiemo Wölken,0.16412213740458015,0.013681044130464507
Udo Bullmann,0.11068702290076335,0.0030283526645517745
Bas Eickhout,0.007633587786259542,0.0
Nicola Beer,0.030534351145038167,0.0
Maria Grapini,0.11832061068702289,0.00323798223204645
Manon Aubry,0.030534351145038167,0.007817594292885215
Denis Nesci,0.015267175572519083,0.0
Iratxe García Pérez,0.22519083969465647,0.007052469054934883
Sandra Pereira,0.003816793893129771,0.0
Lídia Pereira,0.019083969465648856,0.00033910063586373455
Pedro Marques,0.019083969465648856,0.0
Beata Szydło,0.2862595419847328,0.019736220901992438
Manuel Bompard,0.17557251908396945,0.013271063223237654
Erik Bergkvist,0.1984732824427481,0.011803335108916096
Caterina Chinnici,0.17175572519083968,0.012005653257755348
Urmas Paet,0.25572519083969464,0.0175271708623291
Assita Kanko,0.003816793893129771,0.0
Evin Incir,0.030534351145038167,0.005545159643096666
Sara Cerdas,0.32061068702290074,0.033927246000018715
Rasa Juknevičienė,0.13740458015267176,0.0005159309425598601
Dominique Bilde,0.21755725190839695,0.011237272132191499
Giorgos Georgiou,0.03435114503816794,0.000552940650757871
Andżelika Anna Możdżanowska,0.16030534351145037,0.0
Delara Burkhardt,0.022900763358778626,0.0001619430553617479
Ellie Chowns,0.11832061068702289,0.0
Ljudmila Novak,0.05343511450381679,0.0008105147435380829
Eugenia Rodríguez Palop,0.05725190839694656,0.007555598628549605
Jessica Polfjärd,0.05343511450381679,8.891437992840815e-05
Pernando Barrena Arza,0.11832061068702289,0.0017480635178000817
Mónica Silvana González,0.007633587786259542,0.0
Carmen Avram,0.022900763358778626,0.00019250878524988642
Othmar Karas,0.13358778625954199,0.002697376502867914
Marc Tarabella,0.007633587786259542,0.0
Joachim Stanisław Brudziński,0.13358778625954199,0.003910863136451898
Eider Gardiazabal Rubial,0.11832061068702289,0.0
Tiziana Beghin,0.030534351145038167,0.0002759125366628912
Margarita de la Pisa Carrión,0.007633587786259542,0.0
Maria Noichl,0.003816793893129771,0.0
Alfred Sant,0.13358778625954199,0.0019362627323131457
Alessandro Panza,0.015267175572519083,4.2596944143029224e-05
Klemen Grošelj,0.011450381679389313,0.007633587786259541
Cristina Maestre Martín De Almagro,0.003816793893129771,0.0
Marie-Pierre Vedrenne,0.011450381679389313,0.0076335877862595426
Eleonora Evi,0.030534351145038167,8.779196805432655e-05
Paul Tang,0.007633587786259542,0.0
Esteban González Pons,0.003816793893129771,0.0
Balázs Hidvéghi,0.11450381679389313,0.0006344081590812965
Elena Lizzi,0.0916030534351145,0.00035256702928757283
Heléne Fritzon,0.015267175572519083,0.0
Sylwia Spurek,0.183206106870229,0.022082094010325615
