speaker,community,orientation
István Ujhelyi,0,center
Katarina Barley,0,center
Witold Jan Waszczykowski,1,right
Deirdre Clune,6,right
László Trócsányi,3,unknown
Juozas Olekas,1,center
Tomislav Sokol,6,right
Sylvie Guillaume,1,center
Clara Aguilera,4,center
Mislav Kolakušić,0,unknown
Dacian Cioloş,6,center
Jonás Fernández,0,center
Milan Uhrík,4,unknown
Ibán García Del Blanco,1,center
Harald Vilimsky,3,right
Marlene Mortler,6,right
Malik Azmani,6,center
Katrin Langensiepen,4,left
Anja Hazekamp,6,left
Andrus Ansip,1,center
Mick Wallace,4,left
Hervé Juvin,6,unknown
Grzegorz Tobiszowski,6,right
Salima Yenbou,0,left
Vilija Blinkevičiūtė,0,center
Guido Reil,3,right
Margarida Marques,4,center
Özlem Demirel,5,left
Maria Spyraki,6,right
Carlos Zorrinho,4,center
Marisa Matias,6,left
Evelyne Gebhardt,2,center
Ramona Strugariu,1,center
Viola von Cramon-Taubadel,3,left
Virginie Joron,1,right
Clare Daly,0,left
Bert-Jan Ruissen,1,right
Róża Thun und Hohenstein,0,center
Siegfried Mureşan,0,right
Barry Andrews,0,center
Ivan Štefanec,6,right
Markus Ferber,0,right
Marco Dreosto,4,right
Ciarán Cuffe,6,left
Sophia in 't Veld,4,center
Ilhan Kyuchyuk,1,center
Karima Delli,6,left
Christophe Hansen,4,right
Hermann Tertsch,3,right
Ismail Ertug,6,center
Edina Tóth,6,unknown
François-Xavier Bellamy,6,right
Luisa Regimenti,6,right
Sylvia Limmer,6,right
Christian Ehler,3,right
Jens Gieseke,6,right
Christel Schaldemose,6,center
Paulo Rangel,4,right
Marian-Jean Marinescu,1,right
Vlad-Marius Botoş,4,center
Alexandra Geese,1,left
Stanislav Polčák,0,right
Krzysztof Hetman,6,right
Lara Wolters,1,center
Francesca Donato,0,unknown
Marc Botenga,0,left
Ska Keller,0,left
Pierre Larrouturou,6,center
Maria Angela Danzì,6,unknown
Rosanna Conte,6,right
María Soraya Rodríguez Ramos,1,center
Kim Van Sparrentak,3,left
Cláudia Monteiro de Aguiar,6,right
Miriam Lexmann,1,right
Valérie Hayer,3,center
Karen Melchior,0,center
Tomáš Zdechovský,0,right
Robert Hajšel,0,center
Angelo Ciocca,3,right
Gabriele Bischoff,0,center
Zdzisław Krasnodębski,0,right
Sergey Lagodinsky,1,left
Terry Reintke,1,left
Roman Haider,3,right
Corina Crețu,6,center
Frances Fitzgerald,4,right
Andor Deli,4,right
Marie Toussaint,6,left
Clara Ponsatí Obiols,0,unknown
Hannah Neumann,1,left
Elissavet Vozemberg-Vrionidi,6,right
Josianne Cutajar,6,center
Johan Danielsson,4,center
Klaus Buchner,6,left
Helmut Scholz,1,left
Elsi Katainen,6,center
Diana Riba i Giner,4,left
Brando Benifei,0,center
Daniel Freund,1,left
Vladimír Bilčík,0,right
Leszek Miller,0,center
Łukasz Kohut,3,center
Fabio Massimo Castaldo,3,unknown
Cyrus Engerer,0,center
Ana Miranda,1,left
Alviina Alametsä,1,left
Jadwiga Wiśniewska,1,right
Juan Fernando López Aguilar,0,center
Lefteris Nikolaou-Alavanos,6,unknown
Sara Skyttedal,6,right
Guy Verhofstadt,0,center
Sven Mikser,1,center
Elżbieta Rafalska,6,right
Damien Carême,1,left
France Jamet,6,right
Seán Kelly,3,right
Ioan-Rareş Bogdan,4,right
Tanja Fajon,0,center
Mounir Satouri,1,left
Kostas Papadakis,4,unknown
Margrete Auken,5,left
Caroline Roose,6,left
Eugen Tomac,2,right
Anna Fotyga,0,right
Isabel Santos,1,center
Miapetra Kumpula-Natri,4,center
Tiemo Wölken,6,center
Udo Bullmann,4,center
Bas Eickhout,1,left
Nicola Beer,4,center
Maria Grapini,3,center
Manon Aubry,3,left
Denis Nesci,2,right
Iratxe García Pérez,0,center
Sandra Pereira,0,left
Lídia Pereira,3,right
Pedro Marques,0,center
Beata Szydło,0,right
Manuel Bompard,6,left
Erik Bergkvist,6,center
Caterina Chinnici,1,center
Urmas Paet,0,center
Assita Kanko,4,right
Evin Incir,0,center
Sara Cerdas,6,center
Rasa Juknevičienė,1,right
Dominique Bilde,0,right
Giorgos Georgiou,6,left
Andżelika Anna Możdżanowska,0,right
Delara Burkhardt,1,center
Ellie Chowns,6,left
Ljudmila Novak,6,right
Eugenia Rodríguez Palop,3,left
Jessica Polfjärd,6,right
Pernando Barrena Arza,1,left
