speaker_name,topics,entities,sentiment,summary,source_id,date,year,original_text,party,country,political_orientation
Tiemo Wölken,"[{'topic': 'water access', 'confidence': 0.9}, {'topic': 'European Union policy', 'confidence': 0.7}, {'topic': 'Right2Water initiative', 'confidence': 0.6}, {'topic': 'water quality', 'confidence': 0.5}, {'topic': 'European Parliament', 'confidence': 0.4}]","[{'name': 'Right2Water', 'entity_type': 'organization'}, {'name': 'Michael', 'entity_type': 'person'}, {'name': 'European Union', 'entity_type': 'organization'}]",positive,"The speaker welcomes the revised EU water directive, which ensures access to clean water for all EU citizens, and expresses disappointment that the initial proposal did not prioritize access over quality.",0,2020-12-15,2020," – Sehr geehrte Frau Präsidentin Hautala, sehr geehrter Herr Kommissar, lieber Michael für die Ratspräsidentschaft! Die Überarbeitung der Trinkwasserrichtlinie ist ein Erfolg. Sie ist allerdings ein Erfolg der ersten europäischen Bürgerinitiative „Right2Water“. Vielen Dank an dieser Stelle deswegen noch mal an die Bürgerinnen und Bürger, die diese Initiative initiiert haben. Sie haben gezeigt, dass Europäerinnen und Europäer auch außerhalb der Wahlen Einfluss auf europäische Politik nehmen könne",S&D,,center
Vilija Blinkevičiūtė,"[{'topic': 'European integration', 'confidence': 0.9}, {'topic': 'budget', 'confidence': 0.8}, {'topic': 'solidarity', 'confidence': 0.7}, {'topic': 'human rights', 'confidence': 0.6}, {'topic': 'European Union', 'confidence': 0.5}]","[{'name': 'Vilija Blinkevičiūtė', 'entity_type': 'person'}, {'name': 'European Union', 'entity_type': 'organization'}]",positive,"The speaker emphasizes the importance of European integration and solidarity, while expressing concerns about the long-term financial perspective and the need to protect social programs and human rights.",1,2020-07-23,2020,"raštu. – Iš tiesų valstybėms narėms pavyko rasti sudėtingą ir nelengvą susitarimą, ir tai rodo, jog nepaisant sunkumų Europa sugeba susivienyti ir ieškoti kompromisų. Pirmą kartą istorijoje Europa susitarė dėl bendrų pastangų dalinantis finansinę naštą. Neeiliniai iššūkiai reikalauja neeilinių sprendimų, o bendras skolos mechanizmas yra Europos solidarumo išraiška, kai įsipareigojimas grąžinti skolą bus grindžiamas ES nuosavų išteklių sistema, o ne guls ant mūsų piliečių pečių. Tačiau išlieka su",S&D,,center
Joachim Stanisław Brudziński,"[{'topic': 'pandemic', 'confidence': 0.9}, {'topic': 'solidarity', 'confidence': 0.7}, {'topic': 'EU intervention', 'confidence': 0.6}, {'topic': 'national sovereignty', 'confidence': 0.5}, {'topic': 'health and economy', 'confidence': 0.4}]","[{'name': 'Polska', 'entity_type': 'location'}, {'name': 'Węgry', 'entity_type': 'location'}, {'name': 'Unia Europejska', 'entity_type': 'organization'}]",positive,The speaker expresses gratitude for those fighting the pandemic and criticizes EU intervention in Poland's internal affairs.,2,2020-04-16,2020,"na piśmie. – Dziękujemy tym, którzy walczą na wszystkich frontach spowodowanych pandemią. Solidaryzujemy się e wszystkimi, którzy ucierpieli z powodu pojawienia się wirusa COVID-19. Cieszymy się z każdego gestu solidarności międzyludzkiej i międzynarodowej.  Nie było po II wojnie światowej sytuacji tak trudnej i niebezpiecznej, która coraz bardziej uderza w społeczeństwa i gospodarki całego świata. Każde państwo walczy o zdrowie i życie swoich obywateli. Również Polska stawia czoło obecnej sytua",ECR,,right
Jörgen Warborn,"[{'topic': 'EU-British relations', 'confidence': 0.9}, {'topic': 'trade and business', 'confidence': 0.8}, {'topic': 'bureaucracy and economic growth', 'confidence': 0.7}]","[{'name': 'Boris Johnson', 'entity_type': 'person'}, {'name': 'Storbritannien', 'entity_type': 'location'}]",positive,"The speaker emphasizes the importance of a close relationship with the UK, citing the need for a trade agreement and cooperation on business and economic growth.",3,2020-06-17,2020," – Fru talman! Vi behöver en så nära relation med Storbritannien som möjligt. De förblir vår partner, våra allierade och vår vän. Vår geografiska närhet och våra djupa handelsförbindelser gör det omöjligt att fira nyår 2021 utan ett avtal på plats. Boris Johnson vill nu att Storbritannien ska bli bäst i Europa på business. De kommer att bli vassa konkurrenter till EU om kampen om jobb och investeringar.  Det här måste få EU att tagga till och sätta ännu högre mål för våra jobb och vår tillväxt. ",PPE,,right
Maria Noichl,"[{'topic': 'Gender Mainstreaming', 'confidence': 0.9}, {'topic': 'Feminism', 'confidence': 0.8}, {'topic': 'Democracy', 'confidence': 0.7}, {'topic': 'Equality', 'confidence': 0.6}, {'topic': 'Nationalism', 'confidence': 0.5}]","[{'name': 'Dalli', 'entity_type': 'person'}, {'name': 'Europe', 'entity_type': 'location'}]",positive,"The S&D group demands a new, ambitious strategy for gender mainstreaming in all policy fields, with a focus on equality and democracy.",4,2020-02-12,2020,"im Namen der S&D-Fraktion. – Frau Präsidentin! Sehr geehrte Frau Kommissarin Dalli, Sie haben uns an Ihrer Seite, wenn es um wirkliche Fortschritte für die Gleichstellung in Europa geht. Zu meiner Vorrednerin möchte ich nur sagen: Frauen sind nicht schwächer, sondern sie werden geschwächt – von Systemen, von Regeln, von Traditionen. Sie werden geschwächt, wir sind nicht schwächer. Aber diese Schwächung kommt von außen. Wenn wir jetzt auf die Strategie blicken, die hoffentlich jetzt – nach fünf J",S&D,,center
Urmas Paet,"[{'topic': 'economic recovery', 'confidence': 0.9}, {'topic': 'investment', 'confidence': 0.7}, {'topic': 'European Union', 'confidence': 0.8}]","[{'name': 'Urmas Paet', 'entity_type': 'person'}]",positive,"The speaker supports the European Commission's proposal for a 750 billion euro recovery plan, emphasizing its importance for a competitive European Union after the crisis.",5,2020-05-27,2020,"kirjalikult. – Euroopa Komisjoni ettepanek Euroopa majanduse taastumiskavaks on praegustes oludes ning kõiki riske arvesse võttes mõistlik. 750 miljardit eurot ei ole kavandatud mitte lihtsalt toetusteks ja aukude lappimiseks, vaid keskkonnasõbralikeks ja innovaatilisteks investeeringuteks, et Euroopa Liit oleks ka pärast kriisi maailmas konkurentsivõimeline. Euroopa ühtne turg peab taastuma ning ka Euroopa neli suurt vabadust tuleb täielikult taastada. Lisaks on väga oluline, et praeguse kriisi",ALDE,,center
Rovana Plumb,"[{'topic': 'European budget', 'confidence': 0.9}, {'topic': 'climate change', 'confidence': 0.8}, {'topic': 'European Union', 'confidence': 0.7}, {'topic': 'health', 'confidence': 0.6}, {'topic': 'education', 'confidence': 0.5}]","[{'name': 'Rovana Plumb', 'entity_type': 'person'}]",positive,"The speaker welcomes the agreement on the EU budget and highlights the importance of investing in key areas such as the green economy, health, and education.",6,2020-11-11,2020,"in writing. – I welcome the historic agreement reached on MFF of EUR 1.8 trillion. More, the increases secured by Parliament for the key EU programmes in areas including health, research, mainstreaming gender and young people represent a big success of the negotiations held since 2018. The total amount of these top-ups is EUR 15 billion, and another EUR 1 billion will be put aside if unexpected future crises need to be addressed. The pandemic has given us new responsibilities and duties: the res",S&D,,center
Jiří Pospíšil,"[{'topic': 'violence against Christians', 'confidence': 0.9}, {'topic': 'Nigerian government', 'confidence': 0.7}]","[{'name': 'Jiří Pospíšil', 'entity_type': 'person'}, {'name': 'Nigerian government', 'entity_type': 'organization'}, {'name': 'islamist terrorism', 'entity_type': 'other'}]",mixed,"The speaker supports the resolution, but criticizes the lack of emphasis on violence against Christians in Nigeria and suggests that the EU should pressure the Nigerian government to avoid targeting ordinary citizens in its fight against terrorism.",7,2020-01-16,2020," – Paní předsedající, my jsme se v té debatě jasně shodli na problémech, které trápí tuto nešťastnou zemi. Já jsem připraven podpořit usnesení, byť mě také mrzí, jako některé kolegy, že tam je málo zdůrazněno to, že se páchá obrovské násilí na křesťanech, a do budoucna bychom měli tento aspekt více akcentovat.  Ale to, co chci doplnit k té debatě, to zde příliš nezaznělo, že často nigerijská vláda je velmi laxní ke konkrétním útokům, násilí a že často se na tom násilí podílejí i vládní vojáci. A",PPE,,right
Costas Mavrides,"[{'topic': 'Refugees and asylum seekers', 'confidence': 0.9}, {'topic': 'European Union', 'confidence': 0.7}]","[{'name': 'Recep Tayyip Erdoğan', 'entity_type': 'person'}, {'name': 'Turkey', 'entity_type': 'location'}, {'name': 'European Union', 'entity_type': 'organization'}]",negative,"The speaker demands a unified European response to the refugee crisis, criticizing the EU's handling of the situation and the Turkish government's actions.",8,2020-03-10,2020," – Κύριε Πρόεδρε, εάν το ζητούμενο είναι μια κοινή ευρωπαϊκή απάντηση, όπως είναι το θέμα της σημερινής συζήτησης, η απάντηση υπάρχει: Μετεγκατάσταση όλων των ασυνόδευτων παιδιών και των προσφύγων. Αλλά αυτό που βλέπουμε σήμερα, ιδιαίτερα στον Έβρο, είναι ένα οργανωμένο έγκλημα κατά της ανθρωπότητας και κατά της Ευρωπαϊκής Ένωσης από έναν εγκληματία, τον οποίον όλοι ξέρουνε, αλλά δυστυχώς κατάφερε να μας διχάσει. Αντί να αντιμετωπίσουμε τον εγκληματία, αλληλοκατηγορούμαστε εμείς οι ίδιοι.  Κλείν",S&D,,center
Adriana Maldonado López,"[{'topic': 'climate neutrality', 'confidence': 0.9}, {'topic': 'just transition', 'confidence': 0.7}]","[{'name': 'Adriana Maldonado López', 'entity_type': 'person'}]",positive,"The speaker supports the EU's Plan of Investments for a Sustainable Europe and the Just Transition Fund, emphasizing the need for a just transition and social solidarity.",9,2020-01-14,2020,"por escrito. – El Plan de Inversiones para una Europa Sostenible es el brazo financiero para implementar el Pacto Verde. Supone además una respuesta a los ciudadanos que demandaban una hoja de ruta para conseguir que la UE sea el primer bloque climáticamente neutro. Por otro lado, el Fondo de Transición Justa ha de frenar el mayor impacto que pueda generar en las regiones e industrias altamente dependientes del carbono y de los combustibles fósiles el cambio de paradigma que la neutralidad climá",S&D,,center
