speaker,degree_centrality,betweenness_centrality,eigenvector_centrality,pagerank,party,country
Karin Karlsbro,0.4847328244274809,0.062332947299764005,0.23740244060263796,0.017160197498926957,ALDE,
Dacian Cioloş,0.2480916030534351,0.04195911574866897,0.05090311697961324,0.008895925240250601,ALDE,
Vlad-Marius Botoş,0.3053435114503817,0.038701835937835376,0.12393615586416439,0.010321006656216446,ALDE,
Rovana Plumb,0.3511450381679389,0.03795500898739651,0.12109687260500582,0.010724679751030966,S&D,
Michaela Šojdrová,0.37404580152671757,0.03409007732530277,0.14868037994569971,0.012221989508140102,PPE,
Sara Cerdas,0.32061068702290074,0.031643472582487876,0.11455541131453312,0.00956993406383468,S&D,
Marc Botenga,0.31679389312977096,0.025726891131866856,0.14598827866326197,0.009811789305563194,GUE/NGL,
Vilija Blinkevičiūtė,0.34732824427480913,0.0242458433831191,0.14795090705588265,0.010265466199701851,S&D,
Sylwia Spurek,0.183206106870229,0.023606069122793828,0.05091347285189062,0.006061753404723993,S&D,
Leszek Miller,0.3511450381679389,0.022970438088577665,0.19069594092118497,0.01195467342743446,S&D,
Stanislav Polčák,0.32061068702290074,0.02217621389216817,0.14997247512054498,0.010168534494603802,PPE,
Urmas Paet,0.25572519083969464,0.01990108183500982,0.11920087837549283,0.007851261366191638,ALDE,
Angel Dzhambazki,0.29770992366412213,0.019733522762254728,0.16297029430794532,0.01040861225188004,ECR,
Francesca Donato,0.3015267175572519,0.018460808554205958,0.17216688104932423,0.010953761531050552,ID,
Beata Szydło,0.2862595419847328,0.01768399960873862,0.13881052354414494,0.009056497051803062,ECR,
Mick Wallace,0.24045801526717556,0.01733750301227388,0.09427322485532695,0.008276595036888854,GUE/NGL,
Vladimír Bilčík,0.34732824427480913,0.016344595930151886,0.18528117309497957,0.012263140401029085,PPE,
Katarina Barley,0.25572519083969464,0.01621903830931173,0.1314676325378302,0.007658958975379708,S&D,
Chris MacManus,0.24427480916030533,0.01606865968724124,0.0711677107087145,0.0069877821624432564,GUE/NGL,
Paulo Rangel,0.07251908396946564,0.015464495792749512,0.01202723416561687,0.004013315828858839,PPE,
Virginie Joron,0.17175572519083968,0.015241958547883768,0.0585217009551791,0.005475828899062815,ID,
Tiemo Wölken,0.16412213740458015,0.015094471061534557,0.034089104037262875,0.005584751750911261,S&D,
Alexandra Geese,0.17938931297709923,0.014003460372913269,0.057579123607546454,0.00552862579558016,Greens/EFA,
Robert Hajšel,0.26717557251908397,0.01383260545576949,0.12501596681576005,0.008582109783661192,S&D,
Laura Ferrara,0.20610687022900762,0.013778383529865811,0.07396134934567328,0.006535792192784434,NI,
Manuel Bompard,0.17557251908396945,0.013632526438543242,0.037574633415086475,0.006026777570838264,GUE/NGL,
Deirdre Clune,0.06870229007633588,0.013233825861211874,0.00778339928207866,0.0033675167596029145,PPE,
Juan Fernando López Aguilar,0.3129770992366412,0.01311531154051073,0.16690044435425208,0.010347801577354447,S&D,
Dominique Bilde,0.21755725190839695,0.01273451820313325,0.10349367198881894,0.0063370246038473715,ID,
Hermann Tertsch,0.11068702290076335,0.012319607665026898,0.026185187593380253,0.004760056559943918,ECR,
Caterina Chinnici,0.17175572519083968,0.012279934135176378,0.0530546009562701,0.0057586014753841655,S&D,
María Soraya Rodríguez Ramos,0.17175572519083968,0.012004371232999307,0.06208716617736339,0.005741170844735326,ALDE,
Erik Bergkvist,0.1984732824427481,0.01196954708412662,0.04159106655272079,0.006753201264687877,S&D,
Tanja Fajon,0.2480916030534351,0.011755111993552534,0.11786314165936351,0.00783281014570383,S&D,
Salima Yenbou,0.1946564885496183,0.011711756746306645,0.09243021938209253,0.005642171146544584,Greens/EFA,
François-Xavier Bellamy,0.21374045801526717,0.011424098901792848,0.06568115165375568,0.007061439622386705,PPE,
Kim Van Sparrentak,0.09541984732824427,0.011382820056113638,0.019310226819002616,0.003693343072637801,Greens/EFA,
Marina Mesure,0.183206106870229,0.011309180756713215,0.03793498127709156,0.00642652609880171,GUE/NGL,
Bert-Jan Ruissen,0.17938931297709923,0.010992527883992914,0.05356857441548844,0.00528751154620261,ECR,
Josianne Cutajar,0.17175572519083968,0.010883563907779885,0.03419626636368439,0.005676884153619133,S&D,
Ilhan Kyuchyuk,0.24427480916030533,0.010680163684342077,0.11075647495258567,0.007774175669719011,ALDE,
Jonás Fernández,0.18702290076335878,0.0103109861064598,0.08806638340564092,0.0053577248369901746,S&D,
