subject,relation,object,confidence,year,party
Tiemo Wölken,Mentions_Topic,water access,0.9,2020,S&D
Tiemo Wölken,Mentions_Topic,European Union policy,0.7,2020,S&D
Tiemo Wölken,Mentions_Topic,Right2Water initiative,0.6,2020,S&D
Tiemo Wölken,Mentions_Topic,water quality,0.5,2020,S&D
Tiemo Wölken,Mentions_Topic,European Parliament,0.4,2020,S&D
Tiemo Wölken,Mentions_Entity,Right2Water,1.0,2020,S&D
Tiemo Wölken,Mentions_Entity,Michael,1.0,2020,S&D
Tiemo Wölken,Mentions_Entity,European Union,1.0,2020,S&D
Tiemo Wölken,Member_Of,S&D,1.0,2020,S&D
Vilija Blinkevičiūtė,Mentions_Topic,European integration,0.9,2020,S&D
Vilija Blinkevičiūtė,Mentions_Topic,budget,0.8,2020,S&D
Vilija Blinkevičiūtė,Mentions_Topic,solidarity,0.7,2020,S&D
Vilija Blinkevičiūtė,Mentions_Topic,human rights,0.6,2020,S&D
Vilija Blinkevičiūtė,Mentions_Topic,European Union,0.5,2020,S&D
Vilija Blinkevičiūtė,Mentions_Entity,Vilija Blinkevičiūtė,1.0,2020,S&D
Vilija Blinkevičiūtė,Mentions_Entity,European Union,1.0,2020,S&D
Vilija Blinkevičiūtė,Member_Of,S&D,1.0,2020,S&D
Joachim Stanisław Brudziński,Mentions_Topic,pandemic,0.9,2020,ECR
Joachim Stanisław Brudziński,Mentions_Topic,solidarity,0.7,2020,ECR
Joachim Stanisław Brudziński,Mentions_Topic,EU intervention,0.6,2020,ECR
Joachim Stanisław Brudziński,Mentions_Topic,national sovereignty,0.5,2020,ECR
Joachim Stanisław Brudziński,Mentions_Topic,health and economy,0.4,2020,ECR
Joachim Stanisław Brudziński,Mentions_Entity,Polska,1.0,2020,ECR
Joachim Stanisław Brudziński,Mentions_Entity,Węgry,1.0,2020,ECR
Joachim Stanisław Brudziński,Mentions_Entity,Unia Europejska,1.0,2020,ECR
Joachim Stanisław Brudziński,Member_Of,ECR,1.0,2020,ECR
Jörgen Warborn,Mentions_Topic,EU-British relations,0.9,2020,PPE
Jörgen Warborn,Mentions_Topic,trade and business,0.8,2020,PPE
Jörgen Warborn,Mentions_Topic,bureaucracy and economic growth,0.7,2020,PPE
Jörgen Warborn,Mentions_Entity,Boris Johnson,1.0,2020,PPE
Jörgen Warborn,Mentions_Entity,Storbritannien,1.0,2020,PPE
Jörgen Warborn,Member_Of,PPE,1.0,2020,PPE
